text-small,f-m-20,f-m-20 2,d-iblock,d-iblock 2,d-iblock 3,d-iblock 4,d-iblock 5,
"31 Okt 2025
					16:48:51",Penyampaian Siaran Pers Kinerja Keuangan PT Indofood Sukses Makmur Tbk [],INDF,20251022_INDF_Laporan Informasi dan Fakta Material_31978930_lamp1.pdf,,,,,INDF menyampaikan fakta material terkait penerbitan siaran pers mengenai kinerja keuangan perseroan untuk periode kuartal ketiga
"01 Okt 2025
					09:48:38",Pengumuman Bursa Pencatatan Awal Obligasi dan Sukuk [],INKP,20250930_INKP_Pengumuman Pencatatan Awal Obligasi dan Sukuk_31953266_lamp1.pdf,,,,,"INKP menyampaikan pengumuman Bursa Efek Indonesia terkait pencatatan awal untuk Obligasi Berkelanjutan V, Sukuk Mudharabah Berkelanjutan IV, serta Obligasi USD Berkelanjutan II yang mulai dicatatkan pada awal akhir tahun lalu"
"01 Okt 2025
					10:51:17",Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],INKP,20250924_INKP_Laporan Hasil Pemeringkatan_31951942_lamp1.pdf,20250924_INKP_Laporan Hasil Pemeringkatan_31951942_lamp2.pdf,,,,"INKP menyampaikan laporan hasil pemeringkatan tahunan dari PEFINDO atas Obligasi Berkelanjutan V , Sukuk Mudharabah Berkelanjutan IV, dan Obligasi USD Berkelanjutan II dengan peringkat idA+ dan prospek stabil"
"08 Okt 2025
					14:12:08",Laporan Bulanan Registrasi Pemegang Efek [],INKP,20251008_INKP_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965637_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek INKP menunjukkan penurunan pemegang saham sebanyak 383 pemegang
"10 Okt 2025
					17:08:34",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,20251010_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31966690_lamp2.pdf,20251010_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31966690_lamp1.pdf,,,,INKP menyampaikan pengumuman Bursa Efek Indonesia terkait penghapusan pencatatan Obligasi Berkelanjutan III Seri B dan Sukuk Mudharabah Berkelanjutan II Seri B seiring dengan telah jatuh temponya kedua efek tersebut
"13 Okt 2025
					18:27:23",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,20251013_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967052_lamp2.pdf,20251013_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967052_lamp1.pdf,,,,INKP menyampaikan pengumuman Bursa Efek Indonesia terkait penghapusan pencatatan Obligasi USD Berkelanjutan II Seri A seiring dengan telah jatuh temponya efek tersebut
"14 Okt 2025
					14:07:22",Pelunasan Obligasi danSukuk Mudharabah  [],INKP,20251013_INKP_Laporan Informasi dan Fakta Material_31966927_lamp1.pdf,,,,,INKP menyampaikan fakta material terkait pelaksanaan pelunasan pokok Obligasi Berkelanjutan III Seri B dan Sukuk Mudharabah Berkelanjutan II kepada para pemegang efek pertengahan bulan lalu
"15 Okt 2025
					09:24:29",Pelunasan Obligasi USD [],INKP,20251013_INKP_Laporan Informasi dan Fakta Material_31966928_lamp1.pdf,,,,,INKP menyampaikan fakta material terkait pelaksanaan pelunasan pokok Obligasi USD Berkelanjutan II Seri A kepada para pemegang efek pertengahan bulan lalu
"29 Okt 2025
					14:37:52",Informasi Pelunasan Efek [],INKP,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980393_lamp1.pdf,,,,,INKP menyampaikan keterbukaan informasi terkait kesiapan dan rencana pembayaran pelunasan pokok Obligasi Berkelanjutan III Tahap III Seri B serta Sukuk Mudharabah Berkelanjutan II Tahap III Seri B yang dijadwalkan pada akhir tahun lalu
"29 Okt 2025
					14:46:59",Informasi Pelunasan Efek [],INKP,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980331_lamp1.pdf,,,,,INKP menyampaikan keterbukaan informasi terkait kesiapan dan rencana pembayaran pelunasan pokok Obligasi Berkelanjutan V Tahap II Seri A serta Sukuk Mudharabah Berkelanjutan IV Tahap II Seri A yang dijadwalkan pada akhir tahun lalu
"29 Okt 2025
					14:56:19",Informasi Pelunasan Efek [],INKP,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980373_lamp1.pdf,,,,,INKP menyampaikan keterbukaan informasi terkait kesiapan dan rencana pembayaran pelunasan pokok Obligasi Berkelanjutan III Tahap IV Seri A serta Sukuk Mudharabah Berkelanjutan II Tahap IV Seri B yang dijadwalkan pada awal tahun depan
"30 Okt 2025
					15:53:36",Rencana Penyampaian Laporan Keuangan Kuartal III 2025 Diaudit [],INKP,20251030_INKP_Rencana Penyampaian Laporan Keuangan_31980663_lamp1.pdf,,,,,INKP menyampaikan pemberitahuan mengenai rencana penyampaian laporan keuangan perseroan untuk kuartal ketiga yang akan diaudit oleh akuntan publik
"31 Okt 2025
					10:15:41","Konfirmasi Realisasi Nilai Emisi dan Penutupan Penawaran Umum Berkelanjutan Obligasi Berkelanjutan V Indah Kiat Pulp & Paper, Penawaran Umum Berkelanjutan Sukuk Mudharabah Berkelanjutan IV Indah Kiat Pulp & Paper, dan Penawaran Umum Berkelanjutan Obligasi USD Berkelanjutan II Indah Kiat Pulp & Paper. []",INKP,20251031_INKP_Laporan Informasi dan Fakta Material_31981061_lamp1.pdf,,,,,"INKP menyampaikan fakta material terkait konfirmasi realisasi nilai emisi serta penutupan Penawaran Umum Berkelanjutan atas Obligasi Berkelanjutan V, Sukuk Mudharabah Berkelanjutan IV, dan Obligasi USD Berkelanjutan II perseroan pada akhir bulan lalu"
"02 Okt 2025
					23:18:57",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],ISAT,20251002_ISAT_Ringkasan Risalah/Risalah RUPS_31954066_lamp1.pdf,,,,,ISAT menyampaikan ringkasan risalah RUPS Luar Biasa terkait persetujuan pengunduran diri dan pengangkatan anggota komisaris independen perseroan yang baru pada awal bulan lalu
"03 Okt 2025
					18:17:14",Perubahan Komite Audit [],ISAT,20251003_ISAT_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31954391_lamp1.pdf,,,,,ISAT menyampaikan pemberitahuan mengenai perubahan susunan Komite Audit perseroan yang berlaku efektif sejak awal bulan lalu dengan penggantian salah satu anggota komite
"06 Okt 2025
					20:47:01",Kesiapan Pembayaran Obligasi Berkelanjutan IV Indosat Tahap I Seri A dan Pembayaran Sukuk Ijarah Berkelanjutan IV Indosat Tahap I Seri A [],ISAT,20251006_ISAT_Laporan Informasi dan Fakta Material_31965047_lamp1.pdf,,,,,ISAT menyampaikan fakta material terkait kesiapan dana untuk pembayaran Obligasi Berkelanjutan IV Tahap I Seri A dan Sukuk Ijarah Berkelanjutan IV Tahap I Seri A
"09 Okt 2025
					19:27:02",Laporan Bulanan Registrasi Pemegang Efek [],ISAT,20251009_ISAT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966084_lamp1.pdf,20251009_ISAT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966084_lamp2.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek ISAT menunjukkan peningkatan pemegang saham sebanyak 3.150 pemegang
"24 Okt 2025
					17:26:48",Jatuh Tempo Obligasi / Sukuk Korporasi [],ISAT,20251024_ISAT_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31979548_lamp2.pdf,20251024_ISAT_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31979548_lamp1.pdf,,,,ISAT menyampaikan pengumuman jatuh tempo efek instrumen obligasi dan sukuk ijarah berkelanjutan dengan nilai masing-masing sebesar 875.000 juta Rupiah dan 375.000 juta Rupiah yang mengakibatkan efek tersebut tidak lagi dicatatkan dan diperdagangkan di Bursa Efek Indonesia
"29 Okt 2025
					12:14:01",Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],ISAT,FinancialStatement-2025-III-ISAT.xlsx,FS ISAT 30 September 2025.pdf,Info Memo 9M25 Eng Final version.pdf,Info Memo 9M25 Ind Final version.pdf,inlineXBRL.zip,"ISAT menyampaikan laporan keuangan interim konsolidasian untuk periode sembilan bulan yang ditelaah secara terbatas, dengan mencatatkan jumlah aset sebesar Rp113.726.789 juta, total liabilitas sebesar Rp76.151.328 juta, serta laba periode berjalan yang dapat diatribusikan kepada pemilik entitas induk sebesar Rp3.587.389 juta"
"01 Okt 2025
					17:14:45",Konfirmasi Emiten Grup [],ITMG,,,,,,ITMG menyampaikan konfirmasi pemenuhan kriteria satu grup perusahaan dengan PT Adhi Kartiko Pratama Tbk (NICE) berdasarkan kriteria kesamaan jajaran direksi
"03 Okt 2025
					10:52:31",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],ITMG,20251003_ITMG_Pemanggilan RUPS_31954147_lamp1.pdf,20251003_ITMG_Pemanggilan RUPS_31954147_lamp2.pdf,,,,ITMG melaporkan pemanggilan Rapat Umum Pemegang Saham Luar Biasa yang dilaksanakan secara elektronik dengan mata acara persetujuan atas rencana pembelian kembali saham perseroan (buyback) senilai sebanyak-banyaknya Rp2.490.000.000.000 atau 10% dari total modal disetor perseroan
"06 Okt 2025
					15:18:32",Laporan Bulanan Registrasi Pemegang Efek [],ITMG,20251005_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964439_lamp2.pdf,20251005_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964439_lamp1.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek ITMG menunjukkan penurunan pemegang saham sebanyak 1.467 pemegang
"10 Okt 2025
					09:10:40",Laporan Bulanan Aktivitas Eksplorasi [],ITMG,20251010_ITMG_Laporan Bulanan Aktivitas Eksplorasi_31966515_lamp1.pdf,,,,,"ITMG melaporkan bahwa aktivitas eksplorasi mencakup pengeboran preproduction dan eksplorasi oleh PT Trubaindo Coal Mining di Kutai Barat dengan biaya 2.330.452.772, PT Indominco Mandiri di Kutai Timur, Kutai Kartanegara, dan Bontang dengan biaya 810.671.930, PT Bharinto Ekatama di Kutai Barat dan Barito Utara dengan biaya 5.994.193.484, PT Tepian Indah Sukses di wilayah IUP dengan biaya 1.990.571.625, serta PT Nusa Persada Resources di Barito Utara yang belum melaksanakan pengeboran tanpa biaya"
"14 Okt 2025
					18:36:17",Penjelasan atas Pemberitaan Media Massa [],ITMG,,,,,,"ITMG menyampaikan klarifikasi kepada PT Bursa Efek Indonesia terkait pemberitaan media massa mengenai pembelian solar di bawah harga, dengan menegaskan bahwa transaksi dilakukan secara transparan melalui tender kompetitif berlandaskan tata kelola perusahaan yang baik serta tidak berdampak material pada kelangsungan usaha maupun harga saham perseroan"
"16 Okt 2025
					15:37:56",Laporan Bulanan Registrasi Pemegang Efek (KOREKSI) [],ITMG,20251016_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31967908_lamp2.pdf,20251016_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31967908_lamp1.pdf,,,,"ITMG melaporkan koreksi atas laporan bulanan registrasi pemegang efek dengan rincian kepemilikan saham pengendali sebesar 65,143% dan porsi saham free float masyarakat sebesar 34,74%"
"29 Okt 2025
					15:13:50",Rencana Penyampaian Laporan Keuangan Kuartal III Ditelaah secara terbatas [],ITMG,20251028_ITMG_Rencana Penyampaian Laporan Keuangan_31980128_lamp1.pdf,,,,,ITMG menyampaikan rencana penyampaian laporan keuangan kuartal III yang akan ditelaah secara terbatas oleh akuntan publik
"08 Okt 2025
					16:30:00",Laporan Bulanan Registrasi Pemegang Efek [],JPFA,20251008_JPFA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965891_lamp2.pdf,20251008_JPFA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965891_lamp1.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek JPFA menunjukkan penurunan pemegang saham sebanyak 8.165 pemegang
"21 Okt 2025
					16:40:09",Penyampaian Materi pada Acara Indonesia Day [],JPFA,20251021_JPFA_Laporan Informasi dan Fakta Material_31978789_lamp1.pdf,,,,,JPFA menyampaikan keterbukaan informasi mengenai penyampaian materi presentasi investor pada acara Indonesia Day di Singapura yang materinya telah dapat diakses melalui situs web resmi perseroan
"31 Okt 2025
					16:32:37",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],JPFA,FinancialStatement-2025-III-JPFA.xlsx,inlineXBRL.zip,instance.zip,PT Japfa Tbk CFS as of 30 September 2025-Unaudited.pdf,SPD 30 Sept 2025.pdf,"Laporan keuangan JPFA yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 2,63 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 43,10 triliun, sementara total aset JPFA tumbuh dan mencapai 37,30 triliun pada akhir periode tersebut"
"07 Okt 2025
					15:46:44",Laporan Bulanan Registrasi Pemegang Efek [],JSMR,20251007_JSMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965409_lamp4.pdf,20251007_JSMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965409_lamp1.pdf,,,,"Laporan Bulanan Registrasi Pemegang Efek JSMR menunjukkan penurunan persentase saham free float dari 25,03% menjadi 25% serta penurunan pemegang saham sebanyak 1.228 pemegang"
"30 Okt 2025
					08:42:48",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],JSMR,AB.KU.14.16.302.pdf,FinancialStatement-2025-III-JSMR.xlsx,inlineXBRL.zip,instance.zip,PT Jasa Marga (Persero) Tbk_30 September 2025.pdf,"Laporan keuangan JSMR yang tidak diaudit menunjukkan kinerja keuangan dengan laba bersih mencapai Rp2,73 triliun. Sepanjang periode tersebut, pendapatan usaha perseroan tercatat sebesar Rp21,08 triliun. Selain itu, total aset JSMR tumbuh dan mencapai Rp155,03 triliun pada akhir periode tersebut"
"02 Okt 2025
					16:12:44",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],KLBF,20251002_KLBF_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31953793_lamp1.pdf,,,,,"KLBF melaporkan perubahan kepemilikan saham oleh komisaris yang membeli sejumlah 0,001% saham untuk investasi"
"08 Okt 2025
					16:34:01",Laporan Bulanan Registrasi Pemegang Efek [],KLBF,20251006_KLBF_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964883_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek KLBF menunjukkan penurunan saham scrip dari 0,16% menjadi 0,15%, penurunan saham scripless dari 38,49% menjadi 38,46%, kenaikan saham treasury dari 3,16% menjadi 3,2%, penurunan free float dari 38,49% menjadi 38,46%, dan kenaikan pemegang saham sebanyak 5.507 pemegang"
"27 Okt 2025
					15:01:09",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],KLBF,FinancialStatement-2025-III-KLBF.xlsx,inlineXBRL.zip,instance.zip,kalbe farma tbk_billingual_30_sept_2025_released.pdf,,"Laporan keuangan KLBF yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 2,63 miliar. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 25,99 miliar. Selain itu, total aset Kalbe Farma tumbuh dan mencapai 30,10 miliar pada akhir periode tersebut"
"28 Okt 2025
					10:04:43",Penyampaian Laporan Keuangan Interim (KOREKSI) [],KLBF,FinancialStatement-2025-III-KLBF.xlsx,inlineXBRL.zip,instance.zip,kalbe farma tbk_billingual_30_sept_2025_released.pdf,,"KLBF menyampaikan Laporan Keuangan Interim konsolidasian tidak diaudit untuk periode sembilan bulan yang mencatatkan pertumbuhan penjualan sebesar Rp25,98 triliun dan laba bersih yang dapat diatribusikan kepada entitas induk sebesar Rp2,63 triliun"
"09 Okt 2025
					11:57:20",Laporan Bulanan Registrasi Pemegang Efek [],MAPA,20251007_MAPA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965226_lamp3.pdf,20251007_MAPA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965226_lamp1.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek MAPA menunjukkan peningkatan pemegang saham sebanyak 1.191 pemegang
"31 Okt 2025
					17:15:03",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],MAPA,FinancialStatement-2025-III-MAPA.xlsx,inlineXBRL.zip,instance.zip,Report FS MAPA 0925.pdf,SPD MAPA 0925.pdf,"Laporan keuangan MAPA yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 1.162,02 miliar. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 13.945,29 miliar. Selain itu, total aset PT Map Aktif Adiperkasa Tbk tumbuh dan mencapai 13.207,35 miliar pada akhir periode tersebut"
"31 Okt 2025
					17:40:15",Siaran Pers - Laporan Keuangan (Tidak diaudit) PT Map Aktif Adiperkasa Tbk [],MAPA,20251031_MAPA_Laporan Informasi dan Fakta Material_31981106_lamp1.pdf,20251031_MAPA_Laporan Informasi dan Fakta Material_31981106_lamp2.pdf,,,,"MAPA menyampaikan laporan keuangan yang tidak diaudit dengan mencatatkan pendapatan bersih sebesar 13,9 triliun Rupiah, laba kotor sebesar 6,5 triliun Rupiah, laba usaha sebesar 1,7 triliun Rupiah, EBITDA sebesar 2,1 triliun Rupiah, serta perolehan laba bersih sebesar 1,1 triliun Rupiah"
"09 Okt 2025
					12:02:00",Laporan Bulanan Registrasi Pemegang Efek [],MAPI,20251007_MAPI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965232_lamp1.pdf,20251007_MAPI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965232_lamp3.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek MAPI menunjukkan peningkatan pemegang saham sebanyak 3.247 pemegang
"31 Okt 2025
					17:01:09",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],MAPI,FinancialStatement-2025-III-MAPI.xlsx,inlineXBRL.zip,instance.zip,Laporan keuangan MAP 30 Sep 2025.pdf,SPD MAPI Sep25.pdf,"Laporan keuangan MAPI yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 1,70 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 30,04 triliun. Selain itu, total aset Mitra Adiperkasa tumbuh dan mencapai 30,84 triliun pada akhir periode tersebut"
"31 Okt 2025
					17:39:07",Siaran Pers - Laporan Keuangan (Tidak diaudit) PT Mitra Adiperkasa Tbk [],MAPI,20251031_MAPI_Laporan Informasi dan Fakta Material_31981105_lamp2.pdf,20251031_MAPI_Laporan Informasi dan Fakta Material_31981105_lamp1.pdf,,,,"MAPI menyampaikan siaran pers laporan keuangan yang tidak diaudit dengan mencatatkan pendapatan bersih sebesar 30,0 triliun Rupiah, laba kotor sebesar 12,7 triliun Rupiah, laba usaha sebesar 2,5 triliun Rupiah, EBITDA sebesar 3,4 triliun Rupiah, serta perolehan laba bersih sebesar 1,7 triliun Rupiah"
"02 Okt 2025
					10:14:07",Transaksi Afiliasi Perjanjian Pinjaman Pemegang Saham antara MIN dan ZHN [],MBMA,20251001_MBMA_Laporan Informasi dan Fakta Material_31953646_lamp1.pdf,,,,,MBMA menyampaikan laporan informasi atau fakta material mengenai transaksi afiliasi perjanjian pinjaman pemegang saham antara PT Merdeka Industri Mineral dan PT Zhao Hui Nickel sebesar 46.693.200 untuk keperluan korporasi umum
"02 Okt 2025
					13:21:01",Perubahan Internal Audit [],MBMA,20250801_MBMA_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31929244_lamp1.pdf,,,,,MBMA menyampaikan perubahan internal audit perseroan melalui pemberhentian kepala unit audit internal lama sekaligus pengangkatan kepala unit audit internal baru untuk masa jabatan yang efektif sejak tanggal pengangkatan hingga waktu yang tidak terbatas
"10 Okt 2025
					15:41:17",Laporan Bulanan Aktivitas Eksplorasi [],MBMA,20251007_MBMA_Laporan Bulanan Aktivitas Eksplorasi_31965075_lamp1.pdf,,,,,"MBMA melaporkan bahwa aktivitas eksplorasi oleh PT Sulawesi Cahaya Mineral dilakukan di area Tambang SCM, Konawe, Sulawesi Tenggara dengan total biaya yang telah dikeluarkan sebesar 45.460.000.000"
"10 Okt 2025
					15:43:30",Laporan Bulanan Registrasi Pemegang Efek [],MBMA,20251007_MBMA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965123_lamp4.pdf,20251007_MBMA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965123_lamp1.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek MBMA menunjukkan penurunan pemegang saham sebanyak 14.571 pemegang
"14 Okt 2025
					18:05:42",Jatuh Tempo Obligasi / Sukuk Korporasi [],MBMA,20251014_MBMA_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967342_lamp1.pdf,,,,,"MBMA menyampaikan pengumuman bursa terkait jatuh tempo Obligasi II Merdeka Battery Materials Seri A, yang akan dihapuskan dari pencatatan dan tidak lagi diperdagangkan di Bursa Efek Indonesia"
"15 Okt 2025
					14:09:58",Pembelian kembali atau pembayaran Efek Bersifat Utang dan/atau Sukuk [],MBMA,20251015_MBMA_Laporan Informasi dan Fakta Material_31967486_lamp1.pdf,,,,,MBMA menyampaikan keterbukaan informasi mengenai pelaksanaan pelunasan pokok sebesar Rp216.015.000.000 dan pembayaran bunga keempat sebesar Rp3.957.876.514 atas Obligasi II Merdeka Battery Materials Seri A menggunakan dana kas internal perseroan
"20 Okt 2025
					14:10:39",Rencana Penyampaian Laporan Keuangan Kuartal III Diaudit [],MBMA,20251020_MBMA_Rencana Penyampaian Laporan Keuangan_31978405_lamp1.pdf,,,,,MBMA menyampaikan pemberitahuan mengenai rencana penyampaian laporan keuangan kuartal III yang akan diaudit oleh akuntan publik sesuai dengan peraturan bursa
"02 Okt 2025
					18:24:20","Transaksi Afiliasi Perjanjian Penyediaan Jasa yang dibuat oleh dan antara MTS, dengan, masing-masing, PETS, GSM, dan PIN []",MDKA,20251002_MDKA_Laporan Informasi dan Fakta Material_31953884_lamp1.pdf,,,,,"MDKA menyampaikan keterbukaan informasi mengenai transaksi afiliasi berupa Perjanjian Penyediaan Jasa antara PT Merdeka Teknik Servis dengan PT Puncak Emas Tani Sejahtera, PT Gorontalo Sejahtera Mining, dan PT Pani Industri Nusantara untuk mendukung pengembangan proyek emas"
"10 Okt 2025
					10:04:37",Laporan Bulanan Aktivitas Eksplorasi [],MDKA,20251009_MDKA_Laporan Bulanan Aktivitas Eksplorasi_31966092_lamp1.pdf,,,,,"MDKA melaporkan bahwa aktivitas eksplorasi dilakukan oleh PT Bumi Suksesindo di Tujuh Bukit, Banyuwangi dengan biaya 75.090.000.000, PT Batutua Kharisma Permai di Pulau Wetar dengan biaya 15.320.000.000, PT Damai Suksesindo di Banyuwangi dengan biaya 520.000.000, serta PT Puncak Emas Tani Sejahtera dan PT Gorontalo Sejahtera Mining di Gorontalo dengan biaya 9.840.000.000"
"10 Okt 2025
					17:02:45",Laporan Bulanan Registrasi Pemegang Efek [],MDKA,20251006_MDKA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964537_lamp3.pdf,20251006_MDKA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964537_lamp2.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek MDKA menunjukkan peningkatan pemegang saham sebanyak 22.655 pemegang
"15 Okt 2025
					17:07:02",Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],MDKA,20250903_MDKA_Laporan Hasil Pemeringkatan_31937172_lamp2.pdf,20250903_MDKA_Laporan Hasil Pemeringkatan_31937172_lamp1.pdf,,,,"MDKA menyampaikan laporan hasil pemeringkatan tahunan dari PEFINDO yang menetapkan peringkat ""idA+"" dengan prospek ""STABLE"" untuk seluruh seri Obligasi Berkelanjutan III, IV, dan V"
"29 Okt 2025
					16:24:21",Rencana Penyampaian Laporan Keuangan Kuartal III Diaudit [],MDKA,20251029_MDKA_Rencana Penyampaian Laporan Keuangan_31980526_lamp1.pdf,,,,,MDKA menyampaikan pemberitahuan mengenai rencana penyampaian laporan keuangan kuartal III yang akan diaudit oleh akuntan publik sesuai dengan Peraturan Bursa No. I-E
"07 Okt 2025
					16:16:48",Laporan Bulanan Registrasi Pemegang Efek [],MEDC,20251007_MEDC_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965459_lamp1.pdf,20251007_MEDC_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965459_lamp2.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek MEDC menunjukkan penurunan pemegang saham sebanyak 3.883 pemegang
"10 Okt 2025
					16:25:14",Laporan Bulanan Aktivitas Eksplorasi [],MEDC,20251010_MEDC_Laporan Bulanan Aktivitas Eksplorasi_31966789_lamp1.pdf,20251010_MEDC_Laporan Bulanan Aktivitas Eksplorasi_31966789_lamp2.pdf,,,,MEDC melaporkan bahwa tidak ada aktivitas eksplorasi yang dilakukan oleh perseroan pada periode ini
"10 Okt 2025
					16:47:28",Penyampaian Laporan Tahunan (KOREKSI) [],MEDC,AnnualReport2024-MEDC-att1.pdf,AnnualReport2024-MEDC-att2.pdf,,,,MEDC menyampaikan koreksi penyampaian Laporan Tahunan periode tahun buku sebelumnya serta mengonfirmasi pelaksanaan panggilan Rapat Umum Pemegang Saham Tahunan
"13 Okt 2025
					11:36:37","Press Release MedcoEnergi Kurangi Konsumsi Bahan Bakar Gas, Tingkatkan Efisiensi Operasi dan Transisi Energi []",MEDC,20251013_MEDC_Laporan Informasi dan Fakta Material_31967008_lamp1.pdf,20251013_MEDC_Laporan Informasi dan Fakta Material_31967008_lamp2.pdf,,,,"MEDC menyampaikan siaran pers mengenai keberhasilan program optimalisasi penggunaan bahan bakar gas di berbagai aset minyak dan gas bumi perusahaan yang berfokus pada efisiensi operasional, pengurangan emisi karbon, serta mendukung transisi energi"
"22 Okt 2025
					15:33:49",Perjanjian Pinjaman antar Perusahaan antara MEI dengan MLI dan MLI dengan SRB  [],MEDC,20251022_MEDC_Laporan Informasi dan Fakta Material_31978984_lamp1.pdf,,,,,"MEDC melaporkan perjanjian pinjaman antar perusahaan tanpa bunga dengan nilai maksimum sebesar Rp1.500.000.000.000 antara perseroan sebagai pemberi pinjaman kepada anak perusahaan PT Medco LNG Indonesia, yang kemudian disalurkan kembali kepada PT Satria Raksa Buminusa"
"29 Okt 2025
					16:20:37",Jadwal Dividen Tunai Interim [],MEDC,20251029_MEDC_Jadwal Aksi Korporasi (Khusus Penyampaian Dividen Interim)_31980440_lamp1.pdf,20251029_MEDC_Jadwal Aksi Korporasi (Khusus Penyampaian Dividen Interim)_31980440_lamp2.pdf,,,,MEDC menyampaikan rencana pembagian dividen tunai interim dengan total nilai sebesar 42.000.000 Dolar AS berdasarkan laba bersih serta saldo laba ditahan yang tidak dibatasi penggunaannya
